x,y,z
-0.00522972,-0.013676567,0.010772617
-0.0009223,-0.021186003,0.041951652
0.007385003,-0.018689976,0.038799187
0.00337596,-0.033870524,0.073401711
-0.006169976,-0.016911755,0.046837808
-0.003559379,-0.021701169,0.044067004
-0.008415741,-0.029996021,0.066617751
-0.014650948,-0.030592767,0.072711352
-0.005808833,-0.028092257,0.060347304
-0.014071101,-0.023809997,0.062421369
0.033236835,-0.017556572,0.057485446
0.082644948,-0.027365329,0.082791193
0.197134124,-0.018834826,0.091582337
0.356426056,-0.016422153,0.064016542
0.446516245,-0.006305887,0.060409594
0.513560472,-0.00142022,0.062538602
0.626455087,0.004820166,0.059591531
0.675259054,-0.010154413,0.07872641
0.763858316,0.015059739,0.040801264
0.850407184,0.018998677,0.040109894
0.948852223,0.016935208,0.044353395
1.028812151,0.03512977,0.01989277
1.103952504,0.051222484,0.023929154
1.205116403,0.050312712,0.016013068
1.275767783,0.055757477,0.010139093
1.327486998,0.069818314,0.007794034
1.339026887,0.052592942,0.007799671
1.35151842,0.056646742,0.023012283
1.371026218,0.049399841,0.02695881
1.423664275,0.074597282,0.007086571
1.410514543,0.06298797,0.005869972
1.448310578,0.065107023,0.003454793
1.479522159,0.066238976,-0.007628643
1.497947382,0.080286905,-0.008603801
1.520286606,0.069665443,-0.005052733
1.539246078,0.074511705,0.028809391
1.607621623,0.083067865,0.014695818
1.682007804,0.087215527,-0.00083555
1.751382943,0.088407401,-0.040441327
1.784377822,0.090993104,-0.026371662
1.85493237,0.088641917,-0.01111273
1.922528298,0.101933615,0.014173699
2.032647203,0.119744502,-0.006846463
2.121192637,0.126232789,0.019584803
2.162830372,0.143914139,0.021854248
2.22659936,0.146523275,0.016190788
2.297939661,0.156031197,0.018468049
2.367708639,0.175863122,0.023390837
2.425644461,0.166184846,-0.040120228
2.470957595,0.164201321,-0.042804541
2.532225453,0.172834559,-0.028167896
2.599928897,0.175833123,0.034406946
2.648062566,0.192574662,0.080465941
2.665591158,0.204981821,-0.019919292
2.708748015,0.188169009,-0.000746319
2.761300937,0.20823989,-0.010198003
2.825369209,0.213963419,-0.054501704
2.858859086,0.212279957,-0.055983447
2.874492642,0.22712242,-0.071346531
2.880560176,0.212988007,-0.04830096
2.885400842,0.225403285,-0.030237106
2.866683579,0.199239297,-0.033562981
2.892447188,0.21484405,-0.015213976
2.889717242,0.215682438,-0.010959665
2.884921501,0.209318295,-0.011165797
2.899188927,0.203190255,0.052990117
2.877161384,0.206358349,-0.034966862
2.891355445,0.2037623,-0.006043426
2.885115082,0.208773767,0.042018361
2.829326954,0.190072178,0.01175067
2.785668583,0.205835728,0.016418819
2.749609166,0.205147806,0.035260349
2.660200547,0.215572378,0.057658809
2.613922419,0.220311245,0.039356866
2.528403863,0.179446204,0.037589296
2.442842685,0.178759114,0.053334873
2.378616851,0.170844303,0.108377832
2.299189877,0.155515699,0.095151544
2.224599737,0.144482787,0.073117332
2.196267927,0.122392607,0.094247641
2.196861761,0.15134549,0.084420607
2.198479247,0.154472403,0.100903947
2.184062766,0.130853697,0.122273162
2.213482334,0.14725273,0.109987857
2.186245158,0.141066844,0.090809271
2.197792567,0.138236514,0.086210251
2.182617625,0.148970592,0.075151106
2.146720206,0.117621864,0.060223043
2.079678277,0.124884841,0.07318878
2.009279097,0.106988732,0.046476209
1.966253764,0.13932735,0.088306411
1.885901254,0.114753261,0.051977311
1.801501022,0.093887278,0.030764561
1.767693111,0.096537241,0.055222843
1.662149573,0.069099051,0.085009971
1.61941971,0.08668878,0.103992166
1.561782525,0.099605003,0.120447732
1.526928208,0.082502972,0.1033328
1.562127307,0.090698953,0.105793779
1.545989528,0.101878891,0.112897573
1.549281899,0.081876252,0.108276723
1.521498576,0.08628682,0.096891696
1.498093574,0.083127302,0.091028073
1.469777175,0.089618856,0.094402957
1.410697435,0.065847912,0.082276273
1.393677763,0.075497146,0.078177068
1.349049071,0.071072747,0.093635004
1.286090049,0.061632974,0.139875387
1.191908952,0.057545847,0.157794019
1.097049892,0.04928344,0.122028304
0.965987737,-0.001999298,0.167375282
0.863909809,0.035501618,0.211914198
0.785178255,0.02249956,0.176206838
0.650024942,0.02332432,0.157197315
0.588776548,0.014064622,0.1662981
0.536019163,0.011428883,0.160907564
0.424078523,-0.010755665,0.184807082
0.341185072,-0.002710098,0.201944776
0.209494023,-0.011676083,0.178608972
0.131131388,-0.030959013,0.158614662
0.072907582,-0.018338522,0.14358115
0.028733096,-0.047804004,0.148857525
0.014678885,-0.019806569,0.17564372
0.018053503,-0.026624201,0.140916605
0.005473074,-0.03300968,0.151981872
